id,name,date_of_birth,position,current_club,f_matches,f_substitutions,f_goals,nf_matches,nf_substitutions,nf_goals,national_team,year
241,"Brizuela, Isaác",1990-08-28,Right Winger,Chivas Guadalajara,0,1,0,0,0,0,Mexico,2019
242,"Lloris, Hugo",1986-12-26,Goalkeeper,Tottenham Hotspur,9,0,0,0,0,0,France,2017
243,"Mandanda, Steve",1985-03-28,Goalkeeper,Olympique Marseille,2,0,0,0,0,0,France,2017
244,"Umtiti, Samuel",1993-11-14,Centre Back,FC Barcelona,10,0,1,0,0,0,France,2017
245,"Sidibé, Djibril",1992-07-29,Right Back,AS Monaco,8,0,1,0,0,0,France,2017
246,"Koscielny, Laurent",1985-09-10,Centre Back,Arsenal FC,7,1,0,0,0,0,France,2017
247,"Varane, Raphaël",1993-04-25,Centre Back,Real Madrid,5,0,0,0,0,0,France,2017
248,"Kurzawa, Layvin",1992-09-04,Left Back,Paris Saint-Germain,4,1,0,0,0,0,France,2017
249,"Mendy, Benjamin",1994-07-17,Left Back,Manchester City,4,0,0,0,0,0,France,2017
250,"Digne, Lucas",1993-07-20,Left Back,FC Barcelona,3,2,0,0,0,0,France,2017
251,"Jallet, Christophe",1983-10-31,Right Back,OGC Nice,3,2,0,0,0,0,France,2017
252,"Pavard, Benjamin",1996-03-28,Centre Back,VfB Stuttgart,0,2,0,0,0,0,France,2017
253,"Matuidi, Blaise",1987-04-09,Centre Midfielder,Juventus Torino,7,0,1,0,0,0,France,2017
254,"Kanté, N'Golo",1991-03-29,Centre Midfielder,Chelsea FC,6,1,0,0,0,0,France,2017
255,"Pogba, Paul",1993-03-15,Centre Midfielder,Manchester United,5,0,0,0,0,0,France,2017
256,"Tolisso, Corentin",1994-08-03,Centre Midfielder,Bayern München,5,0,0,0,0,0,France,2017
257,"Lemar, Thomas",1995-11-12,Left Midfielder,AS Monaco,4,3,2,0,0,0,France,2017
258,"Dembélé, Ousmane",1997-05-15,Left Midfielder,FC Barcelona,3,1,1,0,0,0,France,2017
259,"Rabiot, Adrien",1995-04-03,Centre Midfielder,Paris Saint-Germain,2,2,0,0,0,0,France,2017
260,"Sissoko, Moussa",1989-08-16,Centre Midfielder,Tottenham Hotspur,1,2,1,0,0,0,France,2017
261,"Fekir, Nabil",1993-07-18,Attacking Midfielder,Olympique Lyonnais,0,3,0,0,0,0,France,2017
262,"N'Zonzi, Steven",1988-12-15,Defensive Midfielder,Sevilla FC,0,2,0,0,0,0,France,2017
263,"Bakayoko, Tiemoué",1994-08-17,Defensive Midfielder,Chelsea FC,0,1,0,0,0,0,France,2017
264,"Griezmann, Antoine",1991-03-21,Left Winger,Atlético Madrid,9,1,5,0,0,0,France,2017
265,"Giroud, Olivier",1986-09-30,Centre Forward,Chelsea FC,8,2,8,0,0,0,France,2017
266,"Mbappé, Kylian",1998-12-20,Centre Forward,Paris Saint-Germain,6,4,1,0,0,0,France,2017
267,"Payet, Dimitri",1987-03-29,Left Winger,Olympique Marseille,3,2,0,0,0,0,France,2017
268,"Coman, Kingsley",1996-06-13,Right Winger,Bayern München,3,1,0,0,0,0,France,2017
269,"Lacazette, Alexandre",1991-05-28,Centre Forward,Arsenal FC,2,4,2,0,0,0,France,2017
270,"Martial, Anthony",1995-12-05,Centre Forward,Manchester United,1,1,0,0,0,0,France,2017
271,"Gameiro, Kévin",1987-05-09,Centre Forward,Atlético Madrid,1,0,0,0,0,0,France,2017
272,"Thauvin, Florian",1993-01-26,Right Winger,Olympique Marseille,0,2,0,0,0,0,France,2017
273,"Lloris, Hugo",1986-12-26,Goalkeeper,Tottenham Hotspur,14,0,0,0,0,0,France,2018
274,"Areola, Alphonse",1993-02-27,Goalkeeper,Paris Saint-Germain,2,0,0,0,0,0,France,2018
275,"Mandanda, Steve",1985-03-28,Goalkeeper,Olympique Marseille,2,0,0,0,0,0,France,2018
276,"Pavard, Benjamin",1996-03-28,Centre Back,VfB Stuttgart,14,2,1,0,0,0,France,2018
277,"Varane, Raphaël",1993-04-25,Centre Back,Real Madrid,14,0,1,0,0,0,France,2018
278,"Umtiti, Samuel",1993-11-14,Centre Back,FC Barcelona,13,0,2,0,0,0,France,2018
279,"Hernández, Lucas",1996-02-14,Centre Back,Atlético Madrid,12,3,0,0,0,0,France,2018
280,"Kimpembe, Presnel",1995-08-13,Centre Back,Paris Saint-Germain,4,3,0,0,0,0,France,2018
281,"Sidibé, Djibril",1992-07-29,Right Back,AS Monaco,4,0,0,0,0,0,France,2018
282,"Digne, Lucas",1993-07-20,Left Back,Everton FC,3,0,0,0,0,0,France,2018
283,"Rami, Adil",1985-12-27,Centre Back,Olympique Marseille,3,0,0,0,0,0,France,2018
284,"Mendy, Benjamin",1994-07-17,Left Back,Manchester City,2,3,0,0,0,0,France,2018
285,"Koscielny, Laurent",1985-09-10,Centre Back,Arsenal FC,1,0,0,0,0,0,France,2018
286,"Mendy, Ferland",1995-06-08,Left Back,Olympique Lyonnais,1,0,0,0,0,0,France,2018
287,"Sakho, Mamadou",1990-02-13,Centre Back,Crystal Palace,1,0,0,0,0,0,France,2018
288,"Zouma, Kurt",1994-10-27,Centre Back,Everton FC,0,1,0,0,0,0,France,2018
289,"Kanté, N'Golo",1991-03-29,Centre Midfielder,Chelsea FC,16,0,0,0,0,0,France,2018
290,"Pogba, Paul",1993-03-15,Centre Midfielder,Manchester United,13,2,2,0,0,0,France,2018
291,"Matuidi, Blaise",1987-04-09,Centre Midfielder,Juventus Torino,12,3,0,0,0,0,France,2018
292,"Dembélé, Ousmane",1997-05-15,Left Midfielder,FC Barcelona,5,9,1,0,0,0,France,2018
293,"N'Zonzi, Steven",1988-12-15,Defensive Midfielder,AS Roma,4,8,0,0,0,0,France,2018
294,"Tolisso, Corentin",1994-08-03,Centre Midfielder,Bayern München,4,6,0,0,0,0,France,2018
295,"Lemar, Thomas",1995-11-12,Left Midfielder,Atlético Madrid,2,4,1,0,0,0,France,2018
296,"Fekir, Nabil",1993-07-18,Attacking Midfielder,Olympique Lyonnais,1,9,1,0,0,0,France,2018
